RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        18438     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  593  601     1  2273  bnd    0  1.0D+00  1.1D-01  1.019D+00  1.347D+03
  594  602     1  2273  bnd    0  1.0D+00  1.8D-01  9.308D-01  1.347D+03
  595  603     1  2272  bnd    0  1.0D+00  6.4D-02  8.782D-01  1.347D+03
  596  604     1  2271  bnd    0  1.0D+00  6.0D-02  8.140D-01  1.347D+03
  597  605     1  2271  bnd    0  1.0D+00  6.6D-02  9.562D-01  1.347D+03
  598  606     1  2271  bnd    0  1.0D+00  1.6D-01  9.726D-01  1.346D+03
  599  607     3  2275  con    0  1.0D+00  1.5D-01  8.803D-01  1.346D+03
  600  608     1  2273  bnd    0  1.0D+00  2.9D-02  9.067D-01  1.346D+03
  601  609     1  2274  bnd    0  1.0D+00  1.4D-02  8.603D-01  1.346D+03
  602  610     1  2275  bnd    0  1.0D+00  3.3D-02  7.973D-01  1.346D+03
  603  611     1  2275  con    0  1.0D+00  8.4D-02  6.948D-01  1.346D+03
  604  612     1  2274  bnd    0  1.0D+00  1.3D-01  7.742D-01  1.346D+03
  605  613     1  2274  bnd    0  1.0D+00  4.3D-02  8.365D-01  1.346D+03
  606  614     1  2275  con    0  1.0D+00  1.7D-02  8.098D-01  1.346D+03
  607  615     1  2275  con    0  1.0D+00  7.1D-02  1.037D+00  1.346D+03
  608  616     1  2274  bnd    0  1.0D+00  8.0D-02  1.037D+00  1.346D+03
  609  617     2  2275  bnd    0  1.0D+00  1.3D-01  8.962D-01  1.346D+03
  610  618     1  2276  bnd    0  1.0D+00  1.7D-01  1.100D+00  1.345D+03
  611  619     1  2276  bnd    0  1.0D+00  8.8D-02  1.055D+00  1.345D+03
  612  620     1  2274  bnd    0  1.0D+00  7.7D-02  9.744D-01  1.345D+03
  613  621     1  2275  bnd    0  1.0D+00  7.3D-02  9.895D-01  1.345D+03
  614  622     1  2274  bnd    0  1.0D+00  1.3D-01  9.843D-01  1.345D+03
  615  623     1  2273  bnd    0  1.0D+00  1.9D-01  1.012D+00  1.345D+03
  616  624     1  2274  bnd    0  1.0D+00  9.9D-02  1.068D+00  1.345D+03
  617  625     1  2273  bnd    0  1.0D+00  1.7D-01  9.846D-01  1.345D+03
  618  626     1  2275  bnd    0  1.0D+00  1.2D-01  1.010D+00  1.345D+03
  619  627     1  2276  bnd    0  1.0D+00  2.1D-01  1.017D+00  1.344D+03
  620  628     1  2278  bnd    0  1.0D+00  2.5D-01  1.001D+00  1.344D+03
  621  629     1  2276  bnd    0  1.0D+00  1.2D-01  9.624D-01  1.344D+03
  622  630     2  2277  bnd    0  1.0D+00  2.0D-01  8.110D-01  1.344D+03
  623  631     1  2277  bnd    0  1.0D+00  1.3D-01  8.216D-01  1.344D+03
  624  632     1  2280  bnd    0  1.0D+00  1.7D-01  1.038D+00  1.344D+03
  625  633     1  2279  bnd    0  1.0D+00  2.5D-01  9.943D-01  1.344D+03
  626  634     1  2279  bnd    0  1.0D+00  2.0D-01  9.141D-01  1.343D+03
  627  635     1  2278  bnd    0  1.0D+00  1.1D-01  9.176D-01  1.343D+03
  628  636     1  2278  con    0  1.0D+00  1.4D-01  1.033D+00  1.343D+03
  629  637     1  2277  bnd    0  1.0D+00  2.2D-01  1.080D+00  1.343D+03
  630  638     1  2273  bnd    0  1.0D+00  1.7D-01  1.180D+00  1.343D+03
  631  639     1  2274  bnd    0  1.0D+00  1.0D-01  1.026D+00  1.343D+03
  632  640     1  2274  bnd    0  1.0D+00  1.6D-01  1.038D+00  1.343D+03
  633  641     1  2274  bnd    0  1.0D+00  3.0D-01  1.165D+00  1.343D+03
  634  642     1  2276  bnd    0  1.0D+00  6.8D-02  1.217D+00  1.342D+03
  635  643     1  2277  con    0  1.0D+00  1.3D-02  1.081D+00  1.342D+03
  636  644     1  2276  con    0  1.0D+00  1.2D-01  8.095D-01  1.342D+03
  637  645     1  2275  bnd    0  1.0D+00  2.2D-01  7.481D-01  1.342D+03
  638  646     1  2276  bnd    0  1.0D+00  2.2D-01  8.436D-01  1.342D+03
  639  647     2  2277  bnd    0  1.0D+00  4.4D-02  7.989D-01  1.342D+03
  640  648     1  2278  con    0  1.0D+00  2.9D-02  8.841D-01  1.342D+03
  641  649     1  2277  bnd    0  1.0D+00  6.2D-02  1.038D+00  1.342D+03
  642  650     1  2277  bnd    0  1.0D+00  1.2D-01  1.039D+00  1.342D+03
  643  651     1  2277  bnd    0  1.0D+00  2.1D-01  8.956D-01  1.341D+03
  644  652     1  2278  bnd    0  1.0D+00  7.5D-02  1.015D+00  1.341D+03
  645  653     1  2278  con    0  1.0D+00  3.1D-02  9.482D-01  1.341D+03
  646  654     1  2278  bnd    0  1.0D+00  4.0D-02  9.037D-01  1.341D+03
  647  655     1  2278  bnd    0  1.0D+00  1.5D-01  8.813D-01  1.341D+03
  648  656     1  2278  bnd    0  1.0D+00  1.6D-01  8.136D-01  1.341D+03
  649  657     1  2277  bnd    0  1.0D+00  2.1D-01  1.180D+00  1.341D+03
  650  658     1  2278  bnd    0  1.0D+00  2.2D-01  1.433D+00  1.341D+03
  651  659     1  2277  bnd    0  1.0D+00  1.0D-01  1.506D+00  1.341D+03
  652  660     1  2278  bnd    0  1.0D+00  1.4D-01  1.480D+00  1.340D+03
  653  661     1  2273  bnd    0  1.0D+00  9.5D-02  1.361D+00  1.340D+03
  654  662     1  2275  con    0  1.0D+00  2.4D-01  1.004D+00  1.340D+03
  655  663     1  2272  bnd    0  1.0D+00  1.8D-01  1.094D+00  1.340D+03
  656  664     1  2269  bnd    0  1.0D+00  1.3D-01  1.120D+00  1.340D+03
  657  665     1  2269  bnd    0  1.0D+00  2.2D-01  1.058D+00  1.340D+03
  658  666     1  2268  con    0  1.0D+00  2.3D-01  9.384D-01  1.340D+03
  659  667     1  2266  bnd    0  1.0D+00  8.3D-02  1.038D+00  1.339D+03
  660  668     2  2267  bnd    0  1.0D+00  1.5D-01  1.038D+00  1.339D+03
  661  669     1  2267  bnd    0  1.0D+00  2.8D-02  1.038D+00  1.339D+03
  662  670     1  2268  bnd    0  1.0D+00  1.4D-01  8.359D-01  1.339D+03
  663  671     1  2268  con    0  1.0D+00  1.2D-01  8.659D-01  1.339D+03
  664  672     1  2266  con    0  1.0D+00  2.1D-01  1.027D+00  1.339D+03
  665  673     2  2267  bnd    0  1.0D+00  1.7D-01  1.030D+00  1.339D+03
  666  674     1  2267  bnd    0  1.0D+00  1.3D-01  1.045D+00  1.339D+03
  667  675     2  2267  bnd    0  1.0D+00  2.1D-01  1.047D+00  1.338D+03
  668  676     1  2264  bnd    0  1.0D+00  8.3D-02  1.047D+00  1.338D+03
  669  677     1  2264  bnd    0  1.0D+00  2.8D-02  1.045D+00  1.338D+03
  670  678     1  2264  bnd    0  1.0D+00  1.1D-01  8.887D-01  1.338D+03
  671  679     1  2266  con    0  1.0D+00  1.5D-01  1.090D+00  1.338D+03
  672  680     1  2265  bnd    0  1.0D+00  2.2D-01  1.549D+00  1.338D+03
  673  681     1  2264  bnd    0  1.0D+00  2.2D-01  1.809D+00  1.338D+03
  674  682     1  2266  bnd    0  1.0D+00  1.9D-01  1.809D+00  1.338D+03
  675  683     1  2265  bnd    0  1.0D+00  2.4D-01  1.541D+00  1.337D+03
  676  684     1  2264  bnd    0  1.0D+00  3.1D-01  1.533D+00  1.337D+03
  677  685     1  2261  bnd    0  1.0D+00  8.6D-02  1.629D+00  1.337D+03
  678  686     1  2262  bnd    0  1.0D+00  9.2D-02  1.357D+00  1.337D+03
  679  687     1  2260  con    0  1.0D+00  8.7D-02  1.035D+00  1.337D+03
  680  688     1  2258  bnd    0  1.0D+00  2.7D-01  9.829D-01  1.337D+03
  681  689     1  2255  bnd    0  1.0D+00  3.0D-01  8.785D-01  1.337D+03
  682  690     1  2255  bnd    0  1.0D+00  2.2D-01  8.215D-01  1.336D+03
  683  691     2  2256  bnd    0  1.0D+00  1.3D-01  8.226D-01  1.336D+03
  684  692     1  2255  bnd    0  1.0D+00  1.4D-01  1.038D+00  1.336D+03
  685  693     1  2255  bnd    0  1.0D+00  2.5D-01  1.039D+00  1.336D+03
  686  694     1  2251  bnd    0  1.0D+00  2.2D-01  1.441D+00  1.336D+03
  687  695     2  2251  con    0  1.0D+00  2.8D-01  1.404D+00  1.336D+03
  688  696     2  2251  bnd    0  1.0D+00  1.6D-01  1.405D+00  1.336D+03
  689  697     1  2253  bnd    0  1.0D+00  6.6D-02  1.256D+00  1.336D+03
  690  698     1  2254  con    0  1.0D+00  1.6D-01  1.168D+00  1.335D+03
  691  699     1  2254  con    0  1.0D+00  2.6D-01  1.230D+00  1.335D+03
  692  700     1  2252  bnd    0  1.0D+00  2.5D-01  1.043D+00  1.335D+03
  693  701     1  2249  bnd    0  1.0D+00  2.0D-01  1.130D+00  1.335D+03
  694  702     1  2248  bnd    0  1.0D+00  1.2D-01  1.207D+00  1.335D+03
  695  703     1  2249  bnd    0  1.0D+00  1.6D-01  1.250D+00  1.335D+03
  696  704     1  2248  bnd    0  1.0D+00  2.2D-01  1.276D+00  1.335D+03
  697  705     1  2248  con    0  1.0D+00  1.1D-01  1.273D+00  1.335D+03
  698  706     1  2247  bnd    0  1.0D+00  6.6D-02  1.158D+00  1.334D+03
  699  707     2  2247  bnd    0  1.0D+00  1.0D-01  8.740D-01  1.334D+03
  700  708     1  2247  bnd    0  1.0D+00  1.9D-01  7.597D-01  1.334D+03
  701  709     1  2247  bnd    0  1.0D+00  2.1D-01  1.160D+00  1.334D+03
  702  710     1  2245  bnd    0  1.0D+00  9.6D-02  1.208D+00  1.334D+03
  703  711     1  2244  bnd    0  1.0D+00  1.1D-02  1.112D+00  1.334D+03
  704  712     1  2245  con    0  1.0D+00  7.1D-02  1.073D+00  1.334D+03
  705  713     1  2245  con    0  1.0D+00  1.1D-01  1.038D+00  1.334D+03
  706  714     1  2243  bnd    0  1.0D+00  1.9D-01  8.953D-01  1.334D+03
  707  715     1  2240  bnd    0  1.0D+00  2.4D-01  8.972D-01  1.333D+03
  708  716     1  2238  bnd    0  1.0D+00  3.1D-01  1.139D+00  1.333D+03
  709  717     1  2236  bnd    0  1.0D+00  8.9D-02  1.118D+00  1.333D+03
  710  718     1  2236  bnd    0  1.0D+00  1.9D-01  1.085D+00  1.333D+03
  711  719     1  2233  bnd    0  1.0D+00  2.1D-01  1.050D+00  1.333D+03
  712  720     1  2230  bnd    0  1.0D+00  3.2D-01  1.037D+00  1.333D+03
  713  721     1  2230  bnd    0  1.0D+00  1.4D-01  1.002D+00  1.333D+03
  714  722     1  2230  bnd    0  1.0D+00  6.9D-02  9.885D-01  1.333D+03
  715  723     1  2231  bnd    0  1.0D+00  1.3D-01  9.691D-01  1.333D+03
  716  724     1  2229  bnd    0  1.0D+00  2.9D-01  1.044D+00  1.332D+03
  717  725     1  2229  bnd    0  1.0D+00  2.6D-01  1.168D+00  1.332D+03
  718  726     1  2223  bnd    0  1.0D+00  1.5D-01  1.201D+00  1.332D+03
  719  727     1  2222  bnd    0  1.0D+00  1.4D-01  1.100D+00  1.332D+03
  720  728     1  2222  bnd    0  1.0D+00  1.0D-01  1.039D+00  1.332D+03
  721  729     1  2223  bnd    0  1.0D+00  1.6D-01  1.038D+00  1.332D+03
  722  730     1  2222  bnd    0  1.0D+00  2.2D-01  7.754D-01  1.332D+03
  723  731     1  2220  bnd    0  1.0D+00  1.9D-01  8.168D-01  1.332D+03
  724  732     1  2221  con    0  1.0D+00  1.3D-01  8.458D-01  1.332D+03
  725  733     1  2220  bnd    0  1.0D+00  1.9D-01  8.808D-01  1.331D+03
  726  734     2  2219  bnd    0  1.0D+00  3.0D-01  7.754D-01  1.331D+03
  727  735     1  2215  bnd    0  1.0D+00  1.4D-01  8.514D-01  1.331D+03
  728  736     2  2213  bnd    0  1.0D+00  8.3D-02  1.038D+00  1.331D+03
  729  737     1  2215  bnd    0  1.0D+00  9.5D-02  1.038D+00  1.331D+03
  730  738     1  2217  bnd    0  1.0D+00  1.7D-01  1.083D+00  1.331D+03
  731  739     1  2217  bnd    0  1.0D+00  3.1D-01  1.452D+00  1.331D+03
  732  740     2  2216  bnd    0  1.0D+00  9.4D-02  1.597D+00  1.331D+03
  733  741     1  2216  con    0  1.0D+00  3.7D-02  1.574D+00  1.331D+03
  734  742     2  2217  con    0  1.0D+00  8.5D-02  1.522D+00  1.331D+03
  735  743     1  2215  bnd    0  1.0D+00  1.9D-01  1.389D+00  1.330D+03
  736  744     1  2213  bnd    0  1.0D+00  3.1D-01  1.084D+00  1.330D+03
  737  745     1  2211  bnd    0  1.0D+00  2.0D-01  1.051D+00  1.330D+03
  738  746     1  2210  bnd    0  1.0D+00  1.3D-01  1.037D+00  1.330D+03
  739  747     1  2210  con    0  1.0D+00  1.0D-01  1.016D+00  1.330D+03
  740  748     2  2211  con    0  1.0D+00  1.4D-01  8.229D-01  1.330D+03
  741  749     1  2211  bnd    0  1.0D+00  2.0D-01  7.214D-01  1.330D+03
  742  750     2  2211  bnd    0  1.0D+00  1.6D-01  7.099D-01  1.330D+03
  743  751     1  2209  bnd    0  1.0D+00  1.2D-01  7.104D-01  1.330D+03
  744  752     1  2209  bnd    0  1.0D+00  1.7D-01  7.097D-01  1.329D+03
  745  753     2  2210  bnd    0  1.0D+00  2.5D-01  8.510D-01  1.329D+03
  746  754     1  2207  bnd    0  1.0D+00  2.1D-01  1.038D+00  1.329D+03
  747  755     1  2208  bnd    0  1.0D+00  1.2D-01  1.037D+00  1.329D+03
  748  756     1  2208  bnd    0  1.0D+00  1.7D-01  8.276D-01  1.329D+03
  749  757     1  2207  con    0  1.0D+00  1.6D-01  7.071D-01  1.329D+03
  750  758     1  2206  bnd    0  1.0D+00  1.1D-01  6.664D-01  1.329D+03
  751  759     1  2204  bnd    0  1.0D+00  1.8D-01  7.594D-01  1.329D+03
  752  760     1  2203  bnd    0  1.0D+00  1.7D-01  8.535D-01  1.329D+03
  753  761     1  2202  bnd    0  1.0D+00  2.6D-02  8.516D-01  1.329D+03
  754  762     1  2202  bnd    0  1.0D+00  2.1D-02  8.975D-01  1.329D+03
  755  763     2  2203  bnd    0  1.0D+00  5.0D-02  1.103D+00  1.329D+03
  756  764     1  2203  bnd    0  1.0D+00  7.0D-02  1.313D+00  1.328D+03
  757  765     1  2204  bnd    0  1.0D+00  1.5D-01  1.469D+00  1.328D+03
  758  766     1  2203  bnd    0  1.0D+00  1.6D-01  1.607D+00  1.328D+03
  759  767     1  2203  bnd    0  1.0D+00  4.6D-02  1.403D+00  1.328D+03
  760  768     1  2202  bnd    0  1.0D+00  6.0D-02  1.030D+00  1.328D+03
  761  769     1  2199  bnd    0  1.0D+00  8.1D-02  8.692D-01  1.328D+03
  762  770     1  2197  bnd    0  1.0D+00  1.7D-01  7.285D-01  1.328D+03
  763  771     1  2199  bnd    0  1.0D+00  9.2D-02  9.627D-01  1.328D+03
  764  772     2  2201  bnd    0  1.0D+00  7.8D-02  1.038D+00  1.328D+03
  765  773     1  2201  bnd    0  1.0D+00  8.9D-02  9.288D-01  1.328D+03
  766  774     2  2203  bnd    0  1.0D+00  1.4D-01  8.215D-01  1.328D+03
  767  775     1  2202  bnd    0  1.0D+00  2.2D-01  8.218D-01  1.328D+03
  768  776     1  2202  con    0  1.0D+00  4.0D-02  7.814D-01  1.328D+03
  769  777     1  2200  con    0  1.0D+00  3.8D-02  5.933D-01  1.327D+03
  770  778     1  2198  bnd    0  1.0D+00  6.2D-02  6.497D-01  1.327D+03
  771  779     1  2198  bnd    0  1.0D+00  1.6D-01  7.270D-01  1.327D+03
  772  780     1  2196  bnd    0  1.0D+00  2.9D-01  1.017D+00  1.327D+03
  773  781     1  2199  bnd    0  1.0D+00  2.0D-02  1.091D+00  1.327D+03
  774  782     1  2198  bnd    0  1.0D+00  1.4D-02  9.549D-01  1.327D+03
  775  783     1  2198  con    0  1.0D+00  7.9D-02  8.500D-01  1.327D+03
  776  784     2  2198  bnd    0  1.0D+00  1.2D-01  7.405D-01  1.327D+03
  777  785     1  2197  bnd    0  1.0D+00  2.3D-01  7.095D-01  1.327D+03
  778  786     2  2199  con    0  1.0D+00  1.7D-01  8.290D-01  1.327D+03
  779  787     1  2197  bnd    0  1.0D+00  7.5D-02  8.334D-01  1.327D+03
  780  788     1  2196  bnd    0  1.0D+00  1.0D-01  8.137D-01  1.327D+03
  781  789     1  2197  bnd    0  1.0D+00  1.6D-01  8.117D-01  1.327D+03
  782  790     1  2196  bnd    0  1.0D+00  2.0D-01  1.037D+00  1.327D+03
  783  791     1  2195  bnd    0  1.0D+00  1.3D-01  8.412D-01  1.326D+03
  784  792     1  2195  bnd    0  1.0D+00  1.8D-01  8.522D-01  1.326D+03
  785  793     1  2194  bnd    0  1.0D+00  1.0D-01  8.303D-01  1.326D+03
  786  794     1  2194  bnd    0  1.0D+00  1.7D-01  1.016D+00  1.326D+03
  787  795     2  2194  bnd    0  1.0D+00  1.7D-01  1.074D+00  1.326D+03
  788  796     1  2195  bnd    0  1.0D+00  1.6D-01  8.990D-01  1.326D+03
  789  797     1  2196  bnd    0  1.0D+00  1.1D-01  8.011D-01  1.326D+03
  790  798     1  2195  con    0  1.0D+00  7.1D-02  1.037D+00  1.326D+03
  791  799     1  2195  con    0  1.0D+00  8.1D-02  1.004D+00  1.326D+03
  792  800     1  2195  con    0  1.0D+00  1.1D-01  8.237D-01  1.326D+03
